V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,
0%,0%,1%,21%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,56%,0%,0%,19%,
0%,3%,0%,11%,0%,0%,1%,6%,0%,0%,0%,0%,0%,0%,0%,3%,57%,0%,0%,17%,
0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,13%,0%,0%,0%,2%,78%,0%,0%,4%,
0%,4%,0%,15%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,75%,0%,0%,2%,
0%,1%,0%,0%,0%,5%,4%,0%,0%,1%,0%,9%,5%,0%,9%,4%,50%,7%,0%,3%,
0%,2%,2%,0%,8%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,66%,0%,0%,0%,20%,
0%,1%,0%,1%,1%,1%,3%,0%,1%,83%,0%,2%,1%,0%,1%,1%,0%,1%,0%,2%,
14%,0%,0%,1%,1%,0%,79%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,2%,
1%,0%,0%,1%,0%,0%,88%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,6%,
1%,1%,79%,1%,1%,0%,2%,0%,0%,0%,0%,2%,0%,0%,1%,3%,0%,1%,0%,6%,
1%,0%,0%,1%,27%,0%,29%,0%,0%,1%,23%,0%,9%,0%,0%,3%,0%,1%,0%,5%,
1%,0%,0%,0%,30%,1%,63%,0%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,2%,
9%,0%,0%,1%,34%,0%,26%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,26%,
7%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,71%,0%,0%,10%,0%,9%,0%,1%,
0%,0%,0%,0%,1%,1%,0%,0%,28%,1%,0%,0%,49%,0%,0%,16%,0%,0%,1%,1%,
0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,65%,0%,1%,0%,0%,0%,32%,
22%,4%,1%,3%,23%,1%,24%,6%,1%,5%,0%,0%,1%,0%,0%,5%,0%,0%,1%,3%,
1%,1%,0%,0%,31%,12%,0%,0%,26%,0%,0%,0%,1%,0%,0%,17%,0%,2%,6%,1%,
1%,0%,1%,1%,5%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,48%,0%,37%,
0%,5%,0%,1%,1%,1%,0%,0%,1%,0%,0%,26%,0%,3%,0%,1%,0%,0%,0%,59%,
0%,6%,0%,2%,32%,0%,1%,3%,3%,5%,1%,5%,1%,0%,0%,1%,9%,0%,0%,32%,
0%,0%,13%,4%,0%,0%,2%,0%,0%,0%,0%,40%,0%,2%,0%,1%,11%,0%,0%,25%,
0%,1%,69%,1%,0%,1%,2%,0%,0%,0%,1%,14%,0%,1%,1%,3%,1%,2%,0%,4%,
0%,1%,0%,0%,2%,1%,0%,0%,0%,1%,0%,1%,1%,0%,0%,1%,0%,1%,90%,1%,
0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,8%,10%,0%,0%,15%,50%,0%,0%,13%,
0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,55%,0%,41%,0%,1%,0%,1%,
11%,0%,2%,0%,17%,7%,1%,0%,0%,0%,0%,1%,11%,0%,0%,4%,0%,12%,33%,1%,
0%,0%,0%,3%,0%,0%,95%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,0%,1%,0%,0%,98%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,0%,3%,0%,1%,95%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,0%,2%,0%,0%,95%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,
0%,1%,0%,92%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,
1%,0%,0%,0%,43%,1%,5%,0%,0%,0%,0%,0%,2%,0%,0%,18%,0%,27%,0%,1%,
0%,1%,0%,0%,51%,0%,0%,0%,1%,29%,0%,0%,12%,0%,0%,1%,0%,0%,1%,1%,
0%,0%,0%,0%,3%,1%,0%,0%,83%,0%,0%,2%,0%,0%,0%,6%,0%,0%,0%,2%,
0%,0%,67%,0%,16%,0%,1%,0%,0%,0%,8%,1%,0%,0%,0%,1%,0%,1%,0%,3%,
0%,1%,1%,1%,1%,5%,0%,0%,24%,1%,0%,5%,1%,4%,5%,1%,0%,0%,7%,43%,
9%,1%,1%,1%,53%,1%,2%,0%,1%,1%,1%,10%,1%,0%,0%,6%,0%,2%,6%,3%,
10%,2%,0%,0%,40%,10%,2%,0%,0%,1%,0%,25%,1%,0%,0%,2%,0%,5%,1%,1%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,
